prosumer_id,prosumer_name,location,total_consumption,total_production,max_consumption,max_production,avg_total_consumption,avg_total_production,avg_max_consumption,avg_max_production
4014,HEDNO_wind_4014,Ηρακλείου,0.0,4384236.40000003,,943.8,0.0,365299.58333333343,0.0,861.2666666666667
4015,HEDNO_wind_4015,Καρύστου,0.0,11477361.5999999,,1808.1,0.0,956337.1250000003,0.0,1720.3500000000001
4016,HEDNO_wind_4016,Ηρακλείου,0.0,24826716.8000002,,1764.0,0.0,2068807.3333333326,0.0,1676.8666666666668
4017,HEDNO_wind_4017,Αλιβερίου,0.0,9880770.39999993,,1409.6,0.0,823336.2666666671,0.0,1107.9333333333334
4018,HEDNO_wind_4018,Καρύστου,0.0,31491248.0000005,,2104.0,0.0,2624143.0666666683,0.0,2002.533333333333
4019,HEDNO_wind_4019,Καρύστου,0.0,4204859.4,,315.6,0.0,350400.2499999996,0.0,309.54999999999995
4020,HEDNO_wind_4020,Καρύστου,0.0,6662369.2,,472.0,0.0,555173.5000000008,0.0,441.33333333333326
4021,HEDNO_wind_4021,Ηρακλείου,0.0,10406440.0,,892.0,0.0,867164.8666666665,0.0,856.7999999999997
4022,HEDNO_wind_4022,Αλιβερίου,0.0,139031.760000003,,28.88,0.0,11585.97999999999,0.0,25.073333333333334
4023,HEDNO_wind_4023,Αλιβερίου,0.0,6843929.20000005,,779.2,0.0,570308.5,0.0,738.7333333333333
4024,HEDNO_wind_4024,Ηρακλείου,0.0,27464340.8000001,,2432.0,0.0,2288621.0666666664,0.0,2184.4000000000005
4025,HEDNO_wind_4025,Σητείας,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
4026,HEDNO_wind_4026,Σητείας,0.0,27598984.7999996,,2676.0,0.0,2299721.999999998,0.0,2617.4
4027,HEDNO_wind_4027,Ηρακλείου,0.0,29626651.2,,2788.8,0.0,2468688.599999999,0.0,2446.1000000000004
4028,HEDNO_wind_4028,Τρίπολης,0.0,11897510.4,,1071.2,0.0,991379.4000000008,0.0,967.2666666666665
4029,HEDNO_wind_4029,Αλιβερίου,0.0,9983685.0,,1398.0,0.0,831860.0,0.0,1393.25
4030,HEDNO_wind_4030,Καρύστου,0.0,33460496.0000003,,2792.0,0.0,2788223.6000000006,0.0,2720.5333333333333
4031,HEDNO_wind_4031,Καρύστου,0.0,11921399.2,,1045.6,0.0,993403.5333333343,0.0,933.7333333333333
4032,HEDNO_wind_4032,Καρύστου,0.0,1992992.25000001,,183.75,0.0,166079.31666666677,0.0,172.4
4033,HEDNO_wind_4033,Ρεθύμνου,0.0,36630982.4000002,,2790.4,0.0,3052581.8666666686,0.0,2594.0
4034,HEDNO_wind_4034,Αλιβερίου,0.0,4076570.1,,617.7,0.0,339714.1749999996,0.0,577.4833333333333
4035,HEDNO_wind_4035,Καρύστου,0.0,220354.719999999,,34.88,0.0,18362.893333333333,0.0,31.653333333333336
4036,HEDNO_wind_4036,Κεφαλληνίας,0.0,26472927.9999997,,2288.0,0.0,2205953.3333333335,0.0,2107.2000000000003
4037,HEDNO_wind_4037,Ρεθύμνου,0.0,6041080.0,,698.0,0.0,503418.6666666667,0.0,695.3333333333334
4038,HEDNO_wind_4038,Ηρακλείου,0.0,16824904.4999999,,1800.3,0.0,1402057.325,0.0,1701.075
4039,HEDNO_wind_4039,Πάτρας,0.0,197364.440000018,,31.1,0.0,16447.033333333744,0.0,28.235
4040,HEDNO_wind_4040,Καρύστου,0.0,4344734.0,,513.0,0.0,362035.25,0.0,511.1666666666666
4041,HEDNO_wind_4041,Κεφαλληνίας,0.0,9456649.5999999,,942.4,0.0,788022.1333333335,0.0,856.5999999999999
4042,HEDNO_wind_4042,Αλιβερίου,0.0,30632280.0,,3420.0,0.0,2552618.0,0.0,3398.3333333333335
